Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2017","2017","tonnes","55","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2018","2018","tonnes","29","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2019","2019","tonnes","20","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","515","Apples","2020","2020","tonnes","30","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1988","1988","1000 US$","72","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1989","1989","1000 US$","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1990","1990","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1991","1991","1000 US$","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1992","1992","1000 US$","8","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","1994","1994","1000 US$","9","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2001","2001","1000 US$","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2002","2002","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2003","2003","1000 US$","33","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2004","2004","1000 US$","67","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2005","2005","1000 US$","92","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2006","2006","1000 US$","153","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2007","2007","1000 US$","143","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2008","2008","1000 US$","241","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2009","2009","1000 US$","184","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2010","2010","1000 US$","96","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2011","2011","1000 US$","61","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2012","2012","1000 US$","84","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2013","2013","1000 US$","202","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2014","2014","1000 US$","139","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2015","2015","1000 US$","188","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2016","2016","1000 US$","163","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2017","2017","1000 US$","97","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2018","2018","1000 US$","44","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2019","2019","1000 US$","32","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","515","Apples","2020","2020","1000 US$","48","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","572","Avocados","1991","1991","tonnes","2","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","572","Avocados","2012","2012","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","572","Avocados","2013","2013","tonnes","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","572","Avocados","2014","2014","tonnes","3","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","572","Avocados","2016","2016","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","572","Avocados","2018","2018","tonnes","5","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","572","Avocados","1991","1991","1000 US$","3","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","572","Avocados","2012","2012","1000 US$","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","572","Avocados","2013","2013","1000 US$","18","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","572","Avocados","2014","2014","1000 US$","6","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","572","Avocados","2016","2016","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","572","Avocados","2018","2018","1000 US$","13","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","507","Grapefruit (inc. pomelos)","1996","1996","tonnes","7","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5922","Export Value","507","Grapefruit (inc. pomelos)","1996","1996","1000 US$","11","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5610","Import Quantity","388","Tomatoes","1987","1987","tonnes","1","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5622","Import Value","388","Tomatoes","1987","1987","1000 US$","4","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1988","1988","tonnes","24","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1989","1989","tonnes","20","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1990","1990","tonnes","59","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1991","1991","tonnes","77","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1992","1992","tonnes","101","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1993","1993","tonnes","120","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1994","1994","tonnes","127","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1995","1995","tonnes","106","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1996","1996","tonnes","56","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1997","1997","tonnes","93","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1998","1998","tonnes","57","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","1999","1999","tonnes","24","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2000","2000","tonnes","35","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2001","2001","tonnes","42","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2002","2002","tonnes","34","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2003","2003","tonnes","14","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2004","2004","tonnes","30","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2005","2005","tonnes","50","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2006","2006","tonnes","21","","Official data"
"TM","Detailed trade matrix","231","United States of America","8","Antigua and Barbuda","5910","Export Quantity","388","Tomatoes","2007","2007","tonnes","48","","Official data"
